id,speaker_nm,conversation_id,reply_to_id,reply_to_nm,timestamp,text,likes,shares,num_comments,cleaned_text,named_entities,sentiment,tokens,date,extracted_entities,content_category,enhanced_hate_score,virality_score,spike_day,engagement_rank,hate_intensity,hate_keywords_count,reply_chain_depth,spike_cause,spike_top_entities,spike_external_cause,contextual_relevance,is_reply,user_influence,mention_count,hashtag_count,url_count,conversation_size,conversation_centrality
1339230232088367105,MrAndyNgo,1339230232088367105,0,,2020-12-16 15:25:43,"BLM-antifa in Seattle have set up another autonomous zone at Cal Anderson Park in the Capital Hill neighborhood. This is the same area they made CHAZ during the summer months. Video by 
@choeshow
:",5200,2700,1400,blmantifa seattle set autonomous zone cal anderson park capital hill neighborhood area chaz summer months video choeshow,"set another, zone cal, area made, seattle, anderson park, 'ORG'), chaz, another autonomous, cal anderson park, made chaz, chaz summer, blm, neighborhood area, hill neighborhood, this, 'LOC'), [('BLM-antifa', 'DATE')], 'FAC'), ('Seattle', ('Capital Hill', capital hill, video, park capital, seattle set, video choeshow, ('the summer months', 'GPE'), months video, ('Cal Anderson Park'",0.2,"[101, 1038, 12624, 3775, 7011, 5862, 2275, 8392, 4224, 10250, 5143, 2380, 3007, 2940, 5101, 2181, 15775, 2480, 2621, 2706, 2678, 16480, 9953, 5004, 102]",2020-12-16,"[""[('BLM-antifa'"", "" 'ORG')"", "" ('Seattle'"", "" 'GPE')"", "" ('Cal Anderson Park'"", "" 'FAC')"", "" ('Capital Hill'"", "" 'LOC')"", "" ('the summer months'"", "" 'DATE')]"", 'set another', 'zone cal', 'area made', 'seattle', 'months video', 'anderson park', 'chaz', 'another autonomous', 'cal anderson park', 'made chaz', 'chaz summer', 'blm', 'neighborhood area', 'hill neighborhood', 'this', 'capital hill', 'video', 'park capital', 'seattle set', 'video choeshow']",social,0.2,1.0,0,0.9822443181818180,0.2,1,0,normal_activity,,no_spike,none,0,0.6725382210780660,1,0,0,12,0.6666666666666670
1339230948488073219,Freakoutery,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 15:28:34,"At some point it seems as if we could just start tweeting out videos of landfills and Haitian ghettos and say ""another autonomous zone has erupted in ___"" and they'd be totally believable.",113,2,1,point just start tweeting videos landfills haitian ghettos say autonomous zone erupted theyd totally believable,"start tweeting, totally believable, videos landfills, haitian ghettos, seems could, could start, another autonomous, erupted totally, ___, ghettos say, landfills haitian, [('Haitian', say another, haitian, 'NORP')], zone erupted, tweeting videos, point seems, autonomous zone",0.45,"[101, 2391, 2074, 2707, 1056, 28394, 3436, 6876, 28382, 2015, 21404, 17276, 2015, 2360, 8392, 4224, 12591, 2027, 2094, 6135, 19337, 2666, 12423, 102]",2020-12-16,"[""[('Haitian'"", "" 'NORP')]"", 'start tweeting', 'seems could', 'could start', 'zone erupted', 'say another', 'tweeting videos', 'haitian', 'another autonomous', 'point seems', 'totally believable', 'erupted totally', '___', 'videos landfills', 'autonomous zone', 'ghettos say', 'landfills haitian', 'haitian ghettos']",general,0.2,0.121,0,0.8835227272727270,0.2,0,1,normal_activity,,no_spike,none,1,0.04915462882349650,0,0,0,12,0.6666666666666670
1339451172659322882,DevinCow,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-17 06:03:40,"Hay 
@KathrynTewson
 they’re lying again",13,0,1,hay kathryntewson theyre lying,"@kathryntewson, hay kathryntewson, [], kathryntewson lying, hay",0.0,"[101, 10974, 20484, 2618, 9333, 2239, 2027, 2890, 4688, 102]",2020-12-17,"['[]', '@kathryntewson', 'hay kathryntewson', 'hay', 'kathryntewson lying']",general,0.2,0.015,1,0.7613636363636360,0.2,1,1,activity_spike,"[](10), 'PERSON')](5), trump(4), 'ORG')(3), 'FAC')(3)","Guardian correlation: How many times has Trump lost the election ahahahaha | First Dog on the Moon (score: 2, strength: medium)",general,1,0.006126123463859630,1,0,0,12,0.6666666666666670
1339236439620349957,palindromemood,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 15:50:23,"This is what we have to look forward to in the Harris/Biden administration. By the time the sympathizers wake up, it’ll be too late.",87,5,2,look forward harrisbiden administration time sympathizers wake itll late,"time sympathizers, [('Biden', administration time, biden, wake late, look forward, this, 'PERSON')], forward administration, harris, war, sympathizers wake",-0.3,"[101, 2298, 2830, 5671, 17062, 2368, 3447, 2051, 25353, 8737, 25457, 16750, 5256, 2009, 3363, 2397, 102]",2020-12-16,"[""[('Biden'"", "" 'PERSON')]"", 'time sympathizers', 'administration time', 'harris', 'biden', 'wake late', 'this', 'forward administration', 'look forward', 'war', 'sympathizers wake']",international,0.2,0.106,0,0.8806818181818180,0.2,1,1,normal_activity,,no_spike,none,1,0.04326252595340020,0,0,0,12,0.6666666666666670
1339231536642629632,kmcannistraci,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 15:30:54,1 time my kid put a note on the door”don’t come in”. I took the door off for a year. That what you do when children throw tantrums. Also you would think with all those collective people together they could come up with a system to clean that place up. Come on man!,74,3,10,1 time kid note doordont come took door year children throw tantrums think collective people come clean place come man,"collective people, come man, come, clean place, children throw, place come, year children, 'CARDINAL'), also, time kid, system clean, note door, that, door year, took door, people together, ('a year', come system, throw tantrums, kid put, put note, would think, 'DATE')], [('1'",0.4583333333333330,"[101, 1015, 2051, 4845, 3602, 2341, 5280, 2102, 2272, 2165, 2341, 2095, 2336, 5466, 9092, 24456, 2015, 2228, 7268, 2111, 2272, 4550, 2173, 2272, 2158, 102]",2020-12-16,"[""[('1'"", "" 'CARDINAL')"", "" ('a year'"", "" 'DATE')]"", 'collective people', 'come man', 'come', 'clean place', 'children throw', 'place come', 'year children', 'also', 'time kid', 'system clean', 'note door', 'that', 'door year', 'took door', 'people together', 'come system', 'throw tantrums', 'kid put', 'put note', 'would think']",general,0.15000000000000000,0.103,0,0.8792613636363640,0.15000000000000000,0,1,normal_activity,,no_spike,none,1,0.0423565705567675,0,0,0,12,0.6666666666666670
1339231959927631873,skol_brian,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 15:32:35,Andy cuts the video and calls it a CHAZ when it's a homeless encampment.  Not surprising. Gotta get those Ngo Simps fird up right?,50,1,34,andy cuts video calls chaz homeless encampment surprising gotta ngo simps fird right,"surprising got, get ngo, gotta, andy, simps, homeless encampment, ('Ngo Simps', cuts video, andy cuts, got get, 'GPE')], ngo simps, calls chaz, fird right, simps fird, not, encampment surprising, [('Andy', chaz homeless, 'PERSON'), video calls",-0.0321428571428571,"[101, 5557, 7659, 2678, 4455, 15775, 2480, 11573, 4372, 26468, 3672, 11341, 10657, 17895, 21934, 4523, 21554, 2094, 2157, 102]",2020-12-16,"[""[('Andy'"", "" 'PERSON')"", "" ('Ngo Simps'"", "" 'GPE')]"", 'encampment surprising', 'surprising got', 'simps', 'cuts video', 'simps fird', 'homeless encampment', 'ngo simps', 'chaz homeless', 'calls chaz', 'fird right', 'got get', 'get ngo', 'gotta', 'not', 'andy cuts', 'andy', 'video calls']",general,0.1,0.121,0,0.8835227272727270,0.1,0,1,normal_activity,,no_spike,none,1,0.05075506900634900,0,0,0,12,0.6666666666666670
1339234000162844674,St3veOlson,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 15:40:42,"I totally support this. As long as we get to build an additional wall around them and never let them come out. Once their supplies diminish, it would only be a matter of time before the problem would resolve itself.",14,0,1,totally support long build additional wall let come supplies diminish matter time problem resolve,"diminish would, around never, support long, build additional, matter time, problem would, additional wall, come supplies, would resolve, wall around, [], never let, long get, supplies diminish, would matter, time problem, get build, let come, once, totally support",-0.0166666666666666,"[101, 6135, 2490, 2146, 3857, 3176, 2813, 2292, 2272, 6067, 11737, 5498, 4095, 3043, 2051, 3291, 10663, 102]",2020-12-16,"['[]', 'diminish would', 'around never', 'support long', 'build additional', 'matter time', 'problem would', 'additional wall', 'come supplies', 'would resolve', 'wall around', 'never let', 'long get', 'supplies diminish', 'would matter', 'time problem', 'get build', 'let come', 'once', 'totally support']",general,0.30000000000000000,0.016,0,0.7649147727272730,0.30000000000000000,0,1,normal_activity,,no_spike,none,1,0.006531208037263920,0,0,0,12,0.6666666666666670
1339313377177460743,ShraderKs,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 20:56:07,Wait antifa is a myth! BLM is a multi-billion dollar organization they wouldn't live like this!! Would they? This is what the left has given birth too. How in the world did 81 million people vote for this?,10,1,8,wait antifa myth blm multibillion dollar organization wouldnt live like left given birth world did 81 million people vote,"[('BLM', ('multi-billion dollar', world million, would live, people vote, 'MONEY'), 'CARDINAL')], myth blm, 'ORG'), would left, like would, left given, live like, blm, antifa myth, million people, birth world, blm dollar, this, wait antifa, wait, vote, given birth, would, ('81 million', organization would",0.1065340909090910,"[101, 3524, 3424, 7011, 10661, 1038, 13728, 4800, 24457, 3258, 7922, 3029, 2876, 2102, 2444, 2066, 2187, 2445, 4182, 2088, 2106, 6282, 2454, 2111, 3789, 102]",2020-12-16,"[""[('BLM'"", "" 'ORG')"", "" ('multi-billion dollar'"", "" 'MONEY')"", "" ('81 million'"", "" 'CARDINAL')]"", 'world million', 'would live', 'people vote', 'myth blm', 'would left', 'like would', 'left given', 'live like', 'blm', 'organization would', 'antifa myth', 'million people', 'birth world', 'blm dollar', 'this', 'wait antifa', 'wait', 'vote', 'given birth', 'would']",social,0.35,0.029,0,0.8096590909090910,0.35,1,1,normal_activity,,no_spike,none,1,0.01219106182047750,0,0,0,12,0.6666666666666670
1339231336867966980,wilconorth_j,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 15:30:07,It’s really wonderful what they’ve been able to build,9,0,1,really wonderful theyve able build,"wonderful able, really wonderful, able build, []",0.75,"[101, 2428, 6919, 2027, 3726, 2583, 3857, 102]",2020-12-16,"['[]', 'wonderful able', 'able build', 'really wonderful']",general,0.1,0.011,0,0.7088068181818180,0.1,0,1,normal_activity,,no_spike,none,1,0.004505785170242460,0,0,0,12,0.6666666666666670
1339342589951176718,Designsage,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 22:52:11,"Wow, Seattle is starting to look like a third world country. WOW.",5,1,1,wow seattle starting look like world country wow,"seattle starting, world country, country wow, starting look, look like, ('WOW', like third, wow seattle, wow, [('Seattle', 'GPE'), third world, 'ORG')], seattle",0.05,"[101, 10166, 5862, 3225, 2298, 2066, 2088, 2406, 10166, 102]",2020-12-16,"[""[('Seattle'"", "" 'GPE')"", "" ('WOW'"", "" 'ORG')]"", 'world country', 'seattle', 'country wow', 'starting look', 'look like', 'like third', 'wow seattle', 'third world', 'wow', 'seattle starting']",general,0.0,0.01,0,0.6910511363636360,0.0,0,1,normal_activity,,no_spike,none,1,0.0041454708862291400,0,0,0,12,0.6666666666666670
1339345626119671809,OlCurt66,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 23:04:15,"I’ve said it before and will again. I have no more sympathy for the folks living there. If they won’t band together to stop this, so be it.",7,0,3,ive said sympathy folks living wont band stop,"sympathy folks, [], said sympathy, band together, folks living, together stop, living band",-0.25,"[101, 4921, 2063, 2056, 11883, 12455, 2542, 2180, 2102, 2316, 2644, 102]",2020-12-16,"['[]', 'sympathy folks', 'band together', 'living band', 'folks living', 'together stop', 'said sympathy']",general,0.0,0.013,0,0.7372159090909090,0.0,0,1,normal_activity,,no_spike,none,1,0.005415664042641560,0,0,0,12,0.6666666666666670
1339232994905743360,EdwinHoward1144,1339230232088367105,1339230232088367105,MrAndyNgo,2020-12-16 15:36:42,"Keep the faith, Trump’s hellfire is about to rain down on the anarcho-communists and the deep state.",4,1,2,faith trumps hellfire rain anarchocommunists deep state,"trump hellfire, rain deep, faith trump, [('Trump', trump, deep state, hellfire rain, keep, 'ORG')], keep faith",-0.0777777777777777,"[101, 4752, 8398, 2015, 3109, 10273, 4542, 9617, 11140, 24163, 7382, 19496, 12837, 2784, 2110, 102]",2020-12-16,"[""[('Trump'"", "" 'ORG')]"", 'trump hellfire', 'rain deep', 'trump', 'deep state', 'hellfire rain', 'keep faith', 'keep', 'faith trump']",politics,0.0,0.011,0,0.7088068181818180,0.0,0,1,normal_activity,,no_spike,none,1,0.00460041032242869,0,0,0,12,0.6666666666666670
1337813537482223618,thehill,1337813537482223618,0,,2020-12-12 17:36:17,"WATCH: Trump supporters gather in Washington, D.C. on Saturday.",589,302,441,watch trump supporters gather washington dc saturday,"saturday, washington saturday, gather washington, supporters gather, ('D.C.', trump, 'GPE'), watch, d.c., trump supporters, [('Washington', 'DATE')], washington, ('Saturday', watch trump",0.0,"[101, 3422, 8398, 6793, 8587, 2899, 5887, 5095, 102]",2020-12-12,"[""[('Washington'"", "" 'GPE')"", "" ('D.C.'"", "" 'GPE')"", "" ('Saturday'"", "" 'DATE')]"", 'saturday', 'washington saturday', 'gather washington', 'supporters gather', 'trump', 'watch', 'd.c.', 'trump supporters', 'watch trump', 'washington']",politics,0.0,1.0,1,0.9822443181818180,0.0,0,0,viral_content,"trump(8), 'ORG')(6), 'ORG')](5), 'PERSON')](4), ('Trump'(4)","Guardian correlation: Trump loses another case challenging election results in latest legal rebuke (score: 5, strength: high)",politics,0,0.5951184406178320,0,0,0,10,0.5555555555555560
1337814925301919744,wireframejames,1337813537482223618,1337813537482223618,thehill,2020-12-12 17:41:48,Imagine if women turned out in support of Trump? It might look like this.,30,6,0,imagine women turned support trump look like,"imagine women, support trump, turned support, imagine, [('Trump', women turned, trump, might look, trump might, 'ORG')], look like",0.0,"[101, 5674, 2308, 2357, 2490, 8398, 2298, 2066, 102]",2020-12-12,"[""[('Trump'"", "" 'ORG')]"", 'imagine women', 'support trump', 'turned support', 'women turned', 'trump', 'might look', 'trump might', 'look like', 'imagine']",politics,0.0,0.048,1,0.8387784090909090,0.0,0,1,viral_content,"trump(8), 'ORG')(6), 'ORG')](5), 'PERSON')](4), ('Trump'(4)","Guardian correlation: Trump loses another case challenging election results in latest legal rebuke (score: 5, strength: high)",politics,1,0.019712681259751800,0,0,0,10,0.5555555555555560
1337813689378861056,chin_dogg,1337813537482223618,1337813537482223618,thehill,2020-12-12 17:36:53,Is this Egypt? Cause that looks like a river of denial,48,0,6,egypt cause looks like river denial,"river denial, cause looks, egypt, 'GPE')], looks like, [('Egypt', cause, egypt cause, like river",0.0,"[101, 5279, 3426, 3504, 2066, 2314, 14920, 102]",2020-12-12,"[""[('Egypt'"", "" 'GPE')]"", 'river denial', 'cause looks', 'egypt', 'looks like', 'cause', 'egypt cause', 'like river']",general,0.0,0.06,1,0.859375,0.0,0,1,viral_content,"trump(8), 'ORG')(6), 'ORG')](5), 'PERSON')](4), ('Trump'(4)","Guardian correlation: Trump loses another case challenging election results in latest legal rebuke (score: 5, strength: high)",politics,1,0.024604203581029000,0,0,0,10,0.5555555555555560
1337818431907880961,JGaffneyUSN,1337813537482223618,1337813537482223618,thehill,2020-12-12 17:55:44,How did they scrape up the gas money?,25,1,0,did scrape gas money,"scrape gas, [], how, gas money",0.0,"[101, 2106, 26988, 3806, 2769, 102]",2020-12-12,"['[]', 'scrape gas', 'how', 'gas money']",general,0.0,0.028,1,0.8068181818181820,0.0,0,1,viral_content,"trump(8), 'ORG')(6), 'ORG')](5), 'PERSON')](4), ('Trump'(4)","Guardian correlation: Trump loses another case challenging election results in latest legal rebuke (score: 5, strength: high)",politics,1,0.011387138344711100,0,0,0,10,0.5555555555555560
